,combination,combid,number,precision,recall,F1
0,"('Acly',)",0,1,0.5660828585496237,0.9070213005747774,0.6970983109571244
1,"('Acly',)",0,1,0.6096531938233061,0.8829280215080044,0.7212738344813816
2,"('Acly',)",0,1,0.6146307585461841,0.8736426456071076,0.7215981156006523
3,"('Acly',)",0,1,0.6401239949627047,0.8484848484848485,0.7297222682347744
4,"('Acly',)",0,1,0.626282159071801,0.8797685130506673,0.731692942389863
5,"('Hnf4a',)",1,1,0.5521926284638149,0.9252789360982757,0.6916305126153068
6,"('Hnf4a',)",1,1,0.5903461416322642,0.9087131858731516,0.7157226045526732
7,"('Hnf4a',)",1,1,0.5876353917569278,0.916419874958868,0.7160917077351617
8,"('Hnf4a',)",1,1,0.6096985583224115,0.8959938366718028,0.7256278271720481
9,"('Hnf4a',)",1,1,0.5945493300852619,0.9224046297389866,0.7230477248530297
10,"('Gpam',)",2,1,0.6284846812034226,0.769863631240843,0.6920271502380713
11,"('Gpam',)",2,1,0.6800308404009252,0.7544910179640718,0.7153284671532846
12,"('Gpam',)",2,1,0.6702290076335878,0.7704288691455523,0.7168444149614737
13,"('Gpam',)",2,1,0.7023527947217727,0.7244478685156651,0.7132292522596549
14,"('Gpam',)",2,1,0.6814415907207954,0.7771347584740759,0.7261490923136347
15,"('Pigr',)",3,1,0.611243527574587,0.8381607122731883,0.7069391634980988
16,"('Pigr',)",3,1,0.6513435700575816,0.8294024196504949,0.7296672579691447
17,"('Pigr',)",3,1,0.6533172911653489,0.8338269167489306,0.7326169710403316
18,"('Pigr',)",3,1,0.6798820445609436,0.7993066255778121,0.7347733711048158
19,"('Pigr',)",3,1,0.6547077035148424,0.84917916617456,0.7393696334001748
20,"('Acly', 'Hnf4a')",0,2,0.5621516164994426,0.9092753296517525,0.6947685683530678
21,"('Acly', 'Hnf4a')",0,2,0.5981750040736517,0.8972259562507637,0.7177983086474068
22,"('Acly', 'Hnf4a')",0,2,0.5906702641295086,0.9124712076340902,0.7171242618852636
23,"('Acly', 'Hnf4a')",0,2,0.6166577682861719,0.8898305084745762,0.728476821192053
24,"('Acly', 'Hnf4a')",0,2,0.6007917410541023,0.9141372386913901,0.7250585480093676
25,"('Acly', 'Gpam')",1,2,0.6102867622540847,0.8250873436267327,0.7016148354017923
26,"('Acly', 'Gpam')",1,2,0.6519655779385879,0.8147378711963827,0.7243196262697594
27,"('Acly', 'Gpam')",1,2,0.6464663563267034,0.8377755840737084,0.7297917064781196
28,"('Acly', 'Gpam')",1,2,0.6681264687032685,0.8031587057010786,0.7294460641399416
29,"('Acly', 'Gpam')",1,2,0.6522291836920003,0.8483524270698004,0.7374743326488706
30,"('Acly', 'Pigr')",2,2,0.6130018172806873,0.8363574890116082,0.7074693741360408
31,"('Acly', 'Pigr')",2,2,0.6523418638338967,0.825491873396065,0.7287733304563598
32,"('Acly', 'Pigr')",2,2,0.6537105512081864,0.8338269167489306,0.7328641665863298
33,"('Acly', 'Pigr')",2,2,0.6802096985583224,0.7996918335901386,0.735127478753541
34,"('Acly', 'Pigr')",2,2,0.6599335915882678,0.8450454706507617,0.7411051841110362
35,"('Hnf4a', 'Gpam')",3,2,0.5764637343431401,0.8921447086667418,0.7003760230037603
36,"('Hnf4a', 'Gpam')",3,2,0.6176927056389032,0.8754735427104974,0.7243314291491836
37,"('Hnf4a', 'Gpam')",3,2,0.6108552879897335,0.8875726664472963,0.723663029869433
38,"('Hnf4a', 'Gpam')",3,2,0.6380600549398503,0.8649203903441192,0.7343690378849822
39,"('Hnf4a', 'Gpam')",3,2,0.6230496161149178,0.8913428605173025,0.7334305150631681
40,"('Hnf4a', 'Pigr')",4,2,0.6099551203590371,0.842443367519441,0.7075918212798182
41,"('Hnf4a', 'Pigr')",4,2,0.6500239578342117,0.8289136013686912,0.7286496938446665
42,"('Hnf4a', 'Pigr')",4,2,0.6429816551838632,0.8496215860480422,0.7319977319977319
43,"('Hnf4a', 'Pigr')",4,2,0.6710080474375265,0.8136877247046739,0.7354921077065925
44,"('Hnf4a', 'Pigr')",4,2,0.6521425999279798,0.8555568678398489,0.7401277139208174
45,"('Gpam', 'Pigr')",5,2,0.6153717627401838,0.8301589090499267,0.706808041068944
46,"('Gpam', 'Pigr')",5,2,0.6603455123113582,0.8127825980691677,0.7286770747740344
47,"('Gpam', 'Pigr')",5,2,0.6606274856385329,0.8198968959087419,0.7316953797963978
48,"('Gpam', 'Pigr')",5,2,0.6862832350650795,0.792116076014381,0.7354115753710437
49,"('Gpam', 'Pigr')",5,2,0.6702127659574468,0.8259123656548955,0.7399608486323476
50,"('Acly', 'Hnf4a', 'Gpam')",0,3,0.580952380952381,0.8868477403358503,0.7020251583548934
51,"('Acly', 'Hnf4a', 'Gpam')",0,3,0.615859938208033,0.8769399975559086,0.7235694479455507
52,"('Acly', 'Hnf4a', 'Gpam')",0,3,0.6127979353271595,0.8854886475814413,0.7243282042079763
53,"('Acly', 'Hnf4a', 'Gpam')",0,3,0.6454990215264188,0.8470724191063174,0.7326743669480231
54,"('Acly', 'Hnf4a', 'Gpam')",0,3,0.6243671673997843,0.8885083264438408,0.7333788262819264
55,"('Acly', 'Hnf4a', 'Pigr')",1,3,0.6098018429421838,0.8427814718809873,0.7076078728236185
56,"('Acly', 'Hnf4a', 'Pigr')",1,3,0.6501963037441348,0.8297690333618477,0.7290883710941695
57,"('Acly', 'Hnf4a', 'Pigr')",1,3,0.6388049955105706,0.8583964023253263,0.7324971920628979
58,"('Acly', 'Hnf4a', 'Pigr')",1,3,0.6733233660828706,0.8095788392398562,0.7351912313432836
59,"('Acly', 'Hnf4a', 'Pigr')",1,3,0.6465318431789959,0.8608716192275895,0.7384630971075427
60,"('Acly', 'Gpam', 'Pigr')",2,3,0.6152242788060697,0.8316240279499606,0.7072410983850098
61,"('Acly', 'Gpam', 'Pigr')",2,3,0.659764193005053,0.8137602346327752,0.7287152549792077
62,"('Acly', 'Gpam', 'Pigr')",2,3,0.6609794908062234,0.820116266315674,0.7319986293993832
63,"('Acly', 'Gpam', 'Pigr')",2,3,0.6849739785184364,0.7942989214175655,0.7355966466496224
64,"('Acly', 'Gpam', 'Pigr')",2,3,0.6710160222584669,0.8260304712412897,0.740497617787189
65,"('Hnf4a', 'Gpam', 'Pigr')",3,3,0.6131646407012321,0.8356812802885157,0.7073356863493274
66,"('Hnf4a', 'Gpam', 'Pigr')",3,3,0.654167476199728,0.8229255774165953,0.7289062077177031
67,"('Hnf4a', 'Gpam', 'Pigr')",3,3,0.6464949570726015,0.8507184380827026,0.734678412427773
68,"('Hnf4a', 'Gpam', 'Pigr')",3,3,0.6732715457547672,0.8115048793014895,0.7359534206695779
69,"('Hnf4a', 'Gpam', 'Pigr')",3,3,0.6477232301672002,0.860162985709224,0.7389782355030186
70,"('Acly', 'Hnf4a', 'Gpam', 'Pigr')",0,4,0.6143356061865957,0.8326383410345993,0.7070194746160102
71,"('Acly', 'Hnf4a', 'Gpam', 'Pigr')",0,4,0.6575476306790425,0.8224367591347916,0.730806819415789
72,"('Acly', 'Hnf4a', 'Gpam', 'Pigr')",0,4,0.6515511103576878,0.8431501590435451,0.735070523547693
73,"('Acly', 'Hnf4a', 'Gpam', 'Pigr')",0,4,0.6768865378387131,0.8050847457627118,0.7354407366136884
74,"('Acly', 'Hnf4a', 'Gpam', 'Pigr')",0,4,0.6502286380346095,0.8565017125310027,0.7392456676860347
