Igf1	917.47
Cps1	512.62
Glul	468.975
Glud1	458.63
Pigr	415.015
Pck1	240.825
Uox	214.465
Hnf4a	192.86
Abcc3	95.665
G6pc	88.44
Paqr9	88.24
Cpt1a	83.455
Acly	76.455
Ganab	75.595
Gpam	62.76
Plxnb2	51.585
Dpyd	47.48
Clptm1	46.29
Ddx17	44.795
Scap	44.66
Uba1	44.295
Gns	41.835
Lrrc3	41.08
Fads6	39.24
Hs3st3b1	39.09
Zcchc24	36.745
Cdc42bpb	24.09
Zdhhc5	23.35
Pdxk	19.78
Vwa8	18.88
Flii	18.73
Ube2z	14.96
Slc38a2	14.77
Stat2	14.09
Bcl9l	13.905
Tomm20	13.455
Il4ra	12.125
Nol6	11.48
Ide	11.155
Ddx3x	11.145
Rnf144b	10.725
Mybbp1a	10.325
Hnf1b	9.715
Flnb	9
Golga2	8.795
Cdh5	8.41
Tbx3	7.64
Paxip1	7.05
Dennd5a	6.18
Rhbdd2	5.895
Mob3b	5.855
Plekhm2	5.63
Ube3a	5.25
Dgkq	4.715
Tecpr1	4.34
Iffo2	4.165
Zhx2	4.12
Gpd2	3.9
Lrat	3.86
Lrtm1	3.565
Tbl1xr1	3.5
Pecam1	3.47
Cog3	3.19
Atp11b	3.06
Add3	2.585
Mcam	2.33
1700017B05Rik	2.22
Megf8	2.07
Tppp	1.9
Vps13c	1.88
Exoc2	1.795
Taok1	1.725
Enpp4	1.71
Des	1.655
Ranbp2	1.64
Golga4	1.635
Sptlc2	1.565
Sox9	1.465
Capn5	1.45
Rasa1	1.205
Vcpip1	1.075
Tln2	1.02
Gpc1	0.995
Adcy7	0.89
Zxdb	0.74
Cdk19	0.705
Chic1	0.565
C3ar1	0.56
Ccdc88b	0.545
Aatk	0.545
Tmed8	0.505
Zfp174	0.49
Fastkd2	0.47
Zfp870	0.415
Dsg1c	0.41
Wdr19	0.355
Mphosph9	0.35
Abca5	0.345
Atp8b5	0.31
Ankrd26	0.305
Tbc1d9	0.295
Zfp560	0.27
Ggt1	0.245
AW554918	0.23
Itga4	0.22
Ammecr1	0.205
Hecw2	0.175
Fam102b	0.16
Nova2	0.15
Krt7	0.15
Prrg3	0.145
Kif7	0.14
Setbp1	0.13
Pcdh17	0.12
Brip1	0.115
Armcx4	0.11
Scube1	0.1
Alms1	0.095
Dync2h1	0.095
Hcn3	0.09
Sdk1	0.085
Slit3	0.08
Plag1	0.075
Sema3g	0.075
Ncs1	0.065
Egflam	0.065
Lama3	0.065
Igdcc4	0.06
Sgpp2	0.06
Lrrc16b	0.055
Col4a4	0.055
Cnnm1	0.055
Cftr	0.015
Blank1	0
Blank2	0
Blank3	0
Blank4	0
Blank5	0
Blank6	0
Blank7	0
