,fov,model_fpkm,model_counts,model_misid,bft_fpkm,bft_counts,bft_misid
0,0,0.5011372840889271,4336,0.3652211884048235,0.5563888244923758,1368,0.07991202346041056
1,1,0.531069737033113,8871,0.476427085740698,0.6343951871235749,2713,0.09604728481714075
2,2,0.5975932067676348,7174,0.4002277255906632,0.6560670797501849,2189,0.07566742944317315
3,3,0.6193004634366651,7518,0.3055818353831599,0.6677510592087442,2495,0.10044194455604662
4,4,0.5836375631381344,7419,0.4080958281701776,0.7037914419087554,2269,0.133908809207614
5,5,0.5726187081013522,6478,0.3373134328358209,0.6055584690953492,2012,0.07473841554559042
6,6,0.5680282610176464,4192,0.5503190967108493,0.5789596220055173,1282,0.15509803921568627
7,7,0.46504155209343256,5536,0.5503943908851884,0.5705088096437658,1729,0.11511627906976744
8,8,0.44593185728994444,4248,0.44995351719863647,0.4856956287819467,1218,0.08896210873146623
9,9,0.5878356166238861,6406,0.42451324609000957,0.7128181954964912,2093,0.10566762728146012
10,10,0.5667167051738577,7706,0.4002915065588976,0.5927879049735657,2431,0.0754639175257732
11,11,0.5556219585209703,9993,0.3702305651907774,0.6068453176566315,3243,0.05844155844155844
12,12,0.6169585118949882,11469,0.4043633125556545,0.6393619223300074,3826,0.0545946890286513
13,13,0.6316178614129652,8674,0.3950766747376917,0.6502731454202952,3063,0.07158049738219895
14,14,0.5923234093544123,8132,0.39349817999246894,0.6543433976987807,2731,0.12536764705882353
15,15,0.5618339523839401,10669,0.2489792042541069,0.6227105469357714,4153,0.04376657824933687
16,16,0.5982174079834186,12051,0.2832238504295098,0.6717729159542352,4451,0.027434225320440746
17,17,0.5717879494089069,6762,0.4339736802299199,0.5982937496989451,2233,0.07178106774338268
18,18,0.5596923057645941,8897,0.40569395017793597,0.6294232368934911,2872,0.04461484837922621
19,19,0.5400675309111328,7340,0.46949602122015915,0.6065352186807375,2351,0.10252029047415634
20,20,0.5997525593762549,9115,0.5050118256560423,0.622922433876977,3002,0.09267803410230693
21,21,0.571980622250236,11453,0.385924276169265,0.6350187289182547,3901,0.07775777834919002
22,22,0.6031662083020813,12549,0.400406834825061,0.6874097470252769,4108,0.07261555648652422
23,23,0.6150913913994627,11691,0.39483104863354584,0.6909040218134987,3891,0.06702758442897655
24,24,0.6260455281991869,14131,0.36172207398860606,0.6907869052489369,4797,0.07412244045131634
25,25,0.5952343834779977,11939,0.4396263604421972,0.6514644234596191,3863,0.06751493118670475
26,26,0.5824525181740158,12373,0.2615321589512495,0.6988481918381426,4634,0.04148660328435609
27,27,0.6130882395915352,10979,0.3543329003525701,0.6512489275056316,3604,0.09490676315057055
28,28,0.5371767862053014,8875,0.45373788647900326,0.5890642583028396,2767,0.10540834845735027
29,29,0.5767054431682401,8951,0.339208551284967,0.6776233808947145,3110,0.08924540470815866
30,30,0.5932235057503934,13152,0.28892319567734465,0.6975802482516229,4579,0.04736918816499053
31,31,0.6069798042912395,11490,0.35887204043628623,0.6733241802232167,3716,0.07119741100323625
32,32,0.5353489428884513,7244,0.36620964175143744,0.6194432432183998,2301,0.07313887679582062
33,33,0.5918741904674122,15561,0.4103860294117647,0.6629878847001672,4994,0.07883650952858574
34,34,0.6168074023205747,13049,0.3017516543402102,0.7327172078527693,4499,0.04821243139000148
35,35,0.5506649679527774,8302,0.41868767696663794,0.616806671771985,2399,0.07550167224080266
36,36,0.5504928788318638,11628,0.43797290163645963,0.6062276390420556,3359,0.06159355416293644
37,37,0.5976566390854774,12773,0.3901406200063918,0.6879764147749584,3800,0.045310853530031614
38,38,0.6058061578519699,15181,0.45625632377740305,0.6979421754427328,4529,0.08772707133362871
39,39,0.5623214001711137,13665,0.41631767873167813,0.6039245142957151,4144,0.06240928882438317
40,40,0.5645362474855682,13723,0.39718791846451423,0.6360907142075151,4191,0.07833054293231284
41,41,0.6004897112863032,12528,0.4090019569471624,0.6441042934160166,3752,0.0673076923076923
42,42,0.501338561895229,8216,0.4255848680935789,0.5420037702479712,2379,0.11677215189873418
43,43,0.5603457237906173,8533,0.44201942678978295,0.6474048588176347,2457,0.1570552147239264
44,44,0.6075371511059912,12578,0.3994642422274535,0.6682540925199865,3993,0.07237569060773481
45,45,0.5799115579528775,13821,0.4604268563806136,0.6756385147568588,4079,0.1520935960591133
46,46,0.6056410694963653,14225,0.42607633148853585,0.7005187595432518,4314,0.04950878007271602
47,47,0.5811575516206504,15569,0.413992255693378,0.6346530480174106,4791,0.08160703075957312
48,48,0.5820732194513794,16731,0.38938700823421774,0.6450513076769131,5279,0.0691358024691358
